generation,n_estimators,max_depth,score
1,43,19,0.6083620195065979
1,75,12,0.6053499713138267
1,24,4,0.594162363740677
1,15,17,0.6039156626506025
1,64,14,0.6102983362019506
1,11,19,0.5963855421686747
1,84,5,0.599469305794607
1,26,5,0.5976764199655765
1,37,11,0.6024096385542169
1,48,7,0.5975329890992541
2,64,14,0.6102983362019506
2,43,19,0.6083620195065979
2,75,12,0.6053499713138267
2,15,17,0.6039156626506025
2,37,11,0.6024096385542169
2,60,13,0.6090074584050488
2,58,15,0.6092226047045324
2,44,18,0.6128083763625932
2,39,20,0.6049196787148595
2,69,12,0.6031985083189902
3,44,18,0.6128083763625932
3,64,14,0.6102983362019506
3,58,15,0.6092226047045324
3,60,13,0.6090074584050488
3,43,19,0.6083620195065979
3,54,18,0.6139558232931727
3,41,18,0.6099397590361445
3,68,16,0.6138841078600114
3,62,13,0.6089357429718876
3,58,15,0.6092226047045324
4,54,18,0.6139558232931727
4,68,16,0.6138841078600114
4,44,18,0.6128083763625932
4,64,14,0.6102983362019506
4,41,18,0.6099397590361445
4,54,20,0.6108003442340791
4,49,17,0.6095094664371773
4,68,16,0.6138841078600114
4,64,16,0.6163941480206541
4,44,18,0.6128083763625932
5,64,16,0.6163941480206541
5,54,18,0.6139558232931727
5,68,16,0.6138841078600114
5,68,16,0.6138841078600114
5,44,18,0.6128083763625932
5,68,16,0.6138841078600114
5,64,15,0.610083189902467
5,46,17,0.6105134825014343
5,49,18,0.6148164084911073
5,68,16,0.6138841078600114
