iteration,C,gamma,score
1,90.62029715663908,0.8350400860128568,0.535
1,43.60300595469065,0.2503213006304106,0.53
1,18.071642241610398,0.9144532375880028,0.545
1,31.775614554492734,0.9393410822414126,0.5425
1,76.32064193203142,0.703537793273932,0.5425
1,3.3133105052308762,0.6246347917950024,0.535
1,42.98920206256687,0.9660595271519224,0.54
1,93.64106005236121,0.591640162984448,0.54
1,70.263609566776,0.27915722763766837,0.515
1,27.097862618665246,0.5046905918424804,0.535
2,0.1,1.0,0.54
2,31.872148735629857,0.8029924342515985,0.545
2,18.322789485561838,1.0,0.5425
2,11.227418422662634,0.45623195956651114,0.5325
2,50.242094170641295,0.7882146147570882,0.55
2,13.619049399680726,0.8888575034573026,0.5475
2,29.346775907961955,1.0,0.54
2,20.295205817077274,0.4371620822792489,0.5175
2,1.068007261037721,0.8246699089502318,0.5375
2,21.267215437579008,0.907243922476632,0.545
3,0.1,1.0,0.54
3,31.17955188138395,1.0,0.5325
3,61.93646258883918,0.8207139604420164,0.5475
3,60.09274417432823,0.9661737446642544,0.53
3,37.20282028994623,0.8305530254986663,0.5475
3,43.64454006384581,0.9526170205903225,0.5375
3,55.0033452295183,0.8192752136478694,0.545
3,100.0,1.0,0.5225
3,39.52134351790866,1.0,0.535
3,22.12215092576188,1.0,0.54
4,0.1,1.0,0.54
4,49.477441279587296,0.7803968336224442,0.5475
4,79.19582466242187,0.7184332384998406,0.5425
4,45.609632902951866,1.0,0.53
4,51.552655207702145,0.7839592342814055,0.55
4,28.234206336261355,0.8085319174031487,0.545
4,63.41763820780627,0.7001176102504365,0.54
4,100.0,1.0,0.5225
4,26.266711425304255,0.8390164093091613,0.5425
4,42.636784741053006,0.8898233833531732,0.545
5,67.0454749297921,0.7022416182060169,0.5425
5,58.93090809471677,0.673708672591114,0.54
5,68.31835251172804,0.7418507866184265,0.5425
5,31.540311706261807,0.8651557191450643,0.5425
5,56.96465756192737,0.7663865089361072,0.55
5,31.825486900713233,0.7472419393176903,0.545
5,52.61585513687329,0.7730756882757037,0.55
5,63.336133954333604,0.4909623870906641,0.545
5,39.63674992687896,0.7161519224360628,0.5425
5,44.03975440634841,0.8384840617861257,0.545
6,94.15220389421718,0.5859335411045055,0.54
6,44.43581717474806,0.8557241218673646,0.5475
6,28.13267859658953,0.9285423751919928,0.5375
6,52.29201085345609,0.684604168431106,0.5375
6,46.2940098809006,0.8010340106706053,0.5475
6,56.99715905431928,0.7727591224567618,0.55
6,44.23353114852388,0.8285691467498952,0.5475
6,32.31677830348919,0.5244650546671579,0.545
6,40.795599718649434,0.7565538665436651,0.5375
6,45.16180253103905,0.7907207965819981,0.5475
7,70.65205666852427,0.6968901085536212,0.545
7,49.12246852041718,0.7923035394644135,0.55
7,44.613513216663655,0.8983976241410592,0.5425
7,52.32125068859324,0.756556403043643,0.5475
7,51.516738728530726,0.7840758547820149,0.55
7,68.86200757566999,0.787167323290429,0.545
7,59.289532943634455,0.7281264802100148,0.5425
7,79.3001448039426,0.8325968404590505,0.5425
7,33.42285019109082,0.844585716052217,0.5375
7,49.49187797233136,0.7649798360646952,0.55
8,42.407490639432396,0.826173102852571,0.545
8,52.0808737241001,0.758346949341372,0.5475
8,65.24305856651226,0.8110604466386157,0.5475
8,49.808230825763424,0.8310195484366676,0.5475
8,51.75798448459933,0.7832925318758814,0.55
8,64.62120937898979,0.7832116447337747,0.5425
8,54.57514503506537,0.7598459800001196,0.5475
8,54.043572690181435,0.7002136359819938,0.535
8,25.313704816181524,0.88295154897246,0.5375
8,52.19214312663378,0.7686857653785324,0.55
9,56.3765296679697,0.7595262403376843,0.5475
9,49.25215053062509,0.7998790804679654,0.55
9,63.337147432495186,0.7591213347976961,0.5475
9,50.50143749800155,0.7920190517034384,0.55
9,50.084490265451485,0.7887263532889617,0.55
9,45.12642261536952,0.769762769578397,0.54
9,51.156850941588694,0.7827417837243899,0.55
9,39.19116907565345,0.685626514306815,0.5475
9,22.336794913372135,0.8866941090714491,0.54
9,49.4470025248418,0.7875667945007816,0.55
10,59.11981605595675,0.7460374106470413,0.545
10,49.156975830166616,0.794946696920224,0.55
10,56.17312632243637,0.8054775649690975,0.545
10,50.615437323503514,0.7691066261327688,0.5475
10,49.49902133322722,0.7906273659032946,0.55
10,50.37117978394372,0.7915847078551039,0.55
10,50.145349533809004,0.788999618232417,0.55
10,39.69008878303519,0.7519035509564753,0.5375
10,59.456382009284454,0.7266936253271926,0.5425
10,49.190353691295094,0.7748090308305808,0.5475
